request|status_code|response_size|response_time|city_id|change_latitude|current_latitude|type|newSearch|listType
POST|200|81|18.996||||||
POST|200|12820|18.555|466|19.1180825|19.1180825|||
GET|200|2840|613.751|466|19.1180825|19.1180825|||
POST|200|13131|6.651|466|19.1180825|19.1180825|City|1.0|search
POST|200|81|6.714||||||
GET|200|134|4.264|466|19.1180825|19.1180825|||
GET|200|134|3.336|427|25.2048493|0|||
POST|200|81|8.940||||||
POST|200|81|6.629||||||
GET|200|134|3.047|427|25.2048493|0|||
GET|200|134|3.752|427|25.2048493|0|||
POST|200|81|7.634||||||
POST|200|57|70.576||||||
POST|200|10478|55.264|427|25.2048493|0|||
POST|200|81|6.537||||||
GET|200|134|2.988|466|19.1180825|19.1180825|||
GET|200|134|3.079|466|19.1180825|19.1180825|||
POST|200|81|7.042||||||
GET|200|134|5.138|427|25.0858429|25.0858429|||
POST|200|81|6.256||||||
GET|200|134|3.671|427|25.0858429|25.0858429|||
POST|200|81|6.838||||||
POST|200|12812|7.284|427|25.0862768|25.0862768|||
POST|200|13131|8.033|427|25.0862768|25.0862768|City|0.0|search
GET|200|2908|909.568|427|25.0862768|25.0862768|||
POST|200|13131|8.323|427|25.0862768|25.0862768|City|0.0|search
POST|200|12812|7.162|427|25.0862768|25.0862768|||
GET|200|3018|1026.853|427|25.0862768|25.0862768|||
GET|200|146|4.027|33134|29.9369004|29.9369004|||
POST|200|81|6.490||||||
POST|200|13131|6.197|33134|29.9369004|29.9369004|||
GET|200|2159|146.029|33134|29.9369004|29.9369004|||
POST|200|13131|5.530|33134|29.9369004|29.9369004|City|1.0|search
GET|200|1008|105.179|33134|29.9369004|29.9369004|||
POST|200|13131|6.479||29.9369004|29.9369004|||
POST|200|13131|6.756|424|51.5073509|29.9369004|City|1.0|search
POST|200|12440|7.609|424|51.5073509|29.9369004|||
GET|200|3066|2355.223|424|51.5073509|29.9369004|||
GET|200|146|2.724|33134|29.9369004|29.9369004|||
GET|200|2159|140.126|33134|29.9367514|29.9367514|||
POST|200|81|5.596||||||
POST|200|13131|6.719|33134|29.9367514|29.9367514|City|1.0|search
GET|200|2159|141.769|33134|29.9367514|29.9367514|||
POST|200|13131|7.610|33134|29.9367514|29.9367514|||
POST|200|13131|7.434|33134|29.9367514|29.9367514|||
POST|200|13131|8.629|33134|29.9367514|29.9367514|City|1.0|search
POST|200|13131|6.318|33134|29.9369004|29.9369004|City|1.0|search
POST|200|13131|26.417|33134|29.9369004|29.9369004|||
GET|200|2159|147.384|33134|29.9369004|29.9369004|||
GET|200|1008|103.550|33134|29.9369004|29.9369004|||
POST|200|12440|11.579|424|51.5073509|29.9369004|||
POST|200|13131|12.520|424|51.5073509|29.9369004|City|1.0|search
GET|200|3066|2247.722|424|51.5073509|29.9369004|||
POST|200|13131|8.416|33134|29.9367343|29.9367343|City|1.0|search
POST|200|13131|9.110|33134|29.9367343|29.9367343|||
GET|200|2693|140.308|33134|29.9367343|29.9367343|||
POST|200|13131|6.925|33134|29.9367343|29.9367343|City|1.0|search
POST|200|13131|8.534|33134|29.9367343|29.9367343|||
GET|200|2693|136.875|33134|29.9367343|29.9367343|||
POST|200|13131|8.930|33134|29.9367343|29.9367343|||
POST|200|13131|11.917|33134|29.9367343|29.9367343|City|1.0|search
POST|200|13131|6.549|33134|29.9367343|29.9367343|City|1.0|search
POST|200|13131|8.075|33134|29.9367343|29.9367343|||
GET|200|2693|145.612|33134|29.9367343|29.9367343|||
GET|200|2693|138.727|33134|29.9367343|29.9367343|||
POST|200|13131|8.042|424|51.5073509|29.9367343|City|1.0|search
POST|200|12440|12.317|424|51.5073509|29.9367343|||
GET|200|2930|2211.803|424|51.5073509|29.9367343|||
POST|200|13131|9.360|435|40.7127837|29.9367343|City|1.0|search
POST|200|12812|10.474|435|40.7127837|29.9367343|||
GET|200|2945|3100.700|435|40.7127837|29.9367343|||
GET|200|146|8.097|435|40.7127837|29.9367343|||
GET|200|14421|67.544|435|40.7127837|29.9367343|||
GET|200|15286|38.261|435|40.7127837|29.9367343|||
POST|200|81|6.371||||||
POST|200|13131|6.379|427|25.2048493|0|City|0.0|search
GET|200|134|4.926|427|25.2048493|0|||
POST|200|12812|8.699|427|25.2048493|0|||
GET|200|2882|911.002|427|25.2048493|0|||
GET|200|146|6.744|466|19.1180825|19.1180825|||
POST|200|81|10.622||||||
GET|200|1262|341.317|466|19.1180825|19.1180825|||
GET|200|449|88.792|466|19.1180825|19.1180825|||
POST|200|13131|5.443||19.1180825|19.1180825|||
POST|200|12812|8.900|427|25.2048493|19.1180825|||
POST|200|73|317.932|427|25.2048493|19.1180825|City|1.0|search
GET|200|2901|972.371|427|25.2048493|19.1180825|||
POST|200|2805|196.334||25.2048493|0|||
POST|200|2101|182.804||25.2048493|0|||
POST|200|764|135.023||25.2048493|0|||
POST|200|13131|7.487|33134|29.9429587|0|||
POST|200|13131|10.246|33134|29.9429587|0|City|0.0|search
GET|200|2354|140.413|33134|29.9429587|0|||
GET|200|683|93.969|33134|29.9429587|0|||
POST|200|3849|181.919||25.2048493|19.1180825|||
POST|200|2469|186.541||25.2048493|19.1180825|||
POST|200|2124|186.612||25.2048493|19.1180825|||
POST|200|13131|9.566|33134|29.9429587|0|||
GET|200|2628|184.670|33134|29.9429587|0|||
POST|200|764|125.585||25.2048493|19.1180825|||
POST|200|73|257.734|33134|29.9429587|19.1180825|City|1.0|search
POST|200|13131|5.418|33134|29.9429587|19.1180825|||
GET|200|2354|196.531|33134|29.9429587|19.1180825|||
GET|200|683|104.343|33134|29.9429587|19.1180825|||
GET|200|14830|42.489|33134|29.9429587|19.1180825|||
GET|200|15090|44.570|33134|29.9429587|19.1180825|||
POST|200|764|171.006||25.2048493|19.1180825|||
POST|200|13131|5.091|33134|29.9429587|0|||
GET|200|2628|123.319|33134|29.9429587|0|||
POST|200|13131|5.518|33134|29.9429587|0|||
GET|200|2628|127.607|33134|29.9429587|0|||
POST|200|13131|5.968|33134|29.9429587|0|||
GET|200|2628|125.002|33134|29.9429587|0|||
GET|200|130|84.402|33134|29.9429587|19.1180825|||
POST|200|13131|8.490|33134|29.9429587|19.1180825|||
GET|200|2094|161.462|33134|29.9429587|19.1180825|||
GET|200|943|104.557|33134|29.9429587|19.1180825|||
GET|200|134|2.987|435|40.7127837|29.9367343|||
POST|200|81|6.861||||||
GET|200|134|3.712|33134|29.9367343|29.9367343|||
POST|200|81|6.229||||||
